Subject,Start Date,Start Time,End Date,End Time,Description
ST Mento,07.04.2026,18:00,07.04.2026,19:30,
ST Mento,24.04.2026,18:00,24.04.2026,21:00,
ST Mento,05.05.2026,18:00,05.05.2026,21:00,
ST Mento,19.05.2026,18:00,19.05.2026,21:00,
ST Mento,02.06.2026,18:00,02.06.2026,21:00,
ST Mento,16.06.2026,18:00,16.06.2026,21:00,
ST Mento,30.06.2026,18:00,30.06.2026,21:00,
ST Mento,08.07.2026,18:00,08.07.2026,21:00,
ST Mento,28.07.2026,18:00,28.07.2026,21:00,Klausurvorbereitung
ST Mento,12.08.2026,18:00,12.08.2026,21:00,Klausurvorbereitung - letzte Fragen
