Subject,Start Date,Start Time,End Date,End Time,Description
LA Tutorium,07.04.2026,17:30,07.04.2026,19:00,Lektion 1
LA Tutorium,21.04.2026,17:30,21.04.2026,19:00,Lektion 2
LA Tutorium,05.05.2026,17:30,05.05.2026,19:00,Lektion 3
LA Tutorium,19.05.2026,17:30,19.05.2026,19:00,Lektion 4
LA Tutorium,02.06.2026,17:30,02.06.2026,19:00,Lektion 5
LA Tutorium,16.06.2026,17:30,16.06.2026,19:00,Lektion 6
LA Tutorium,30.06.2026,17:30,30.06.2026,19:00,Lektion 7
LA Mento,16.04.2026,18:00,16.04.2026,20:00,Lektion 1
LA Mento,30.04.2026,18:00,30.04.2026,20:00,Lektion 2
LA Mento,11.05.2026,18:00,11.05.2026,20:00,Lektion 3
LA Mento,28.05.2026,18:00,28.05.2026,20:00,Lektion 4
LA Mento,11.06.2026,18:00,11.06.2026,20:00,Lektion 5
LA Mento,25.06.2026,18:00,25.06.2026,20:00,Lektion 6
LA Mento,09.07.2026,18:00,09.07.2026,20:00,Lektion 7
LA Mento,30.07.2026,18:00,30.07.2026,20:00,Klausurvorbereitung
LA Mento,13.08.2026,18:00,13.08.2026,20:00,Klausurvorbereitung
ST Sprechstunde,15.04.2026,15:30,15.04.2026,16:30,
ST Sprechstunde,29.04.2026,15:30,29.04.2026,16:30,
ST Sprechstunde,13.05.2026,15:30,13.05.2026,16:30,
ST Sprechstunde,26.05.2026,15:30,26.05.2026,16:30,
ST Sprechstunde,10.06.2026,15:30,10.06.2026,16:30,
ST Sprechstunde,24.06.2026,15:30,24.06.2026,16:30,
ST Sprechstunde,08.07.2026,15:30,08.07.2026,16:30,
ST Mento,09.04.2026,17:00,09.04.2026,20:00,Lektion/Wiederholung 1
ST Mento,23.04.2026,17:00,23.04.2026,20:00,Lektion/Wiederholung 2
ST Mento,07.05.2026,17:00,07.05.2026,20:00,Lektion/Wiederholung 3
ST Mento,21.05.2026,17:00,21.05.2026,20:00,Lektion/Wiederholung 4
ST Mento,11.06.2026,17:00,11.06.2026,20:00,Lektion/Wiederholung 5
ST Mento,25.06.2026,17:00,25.06.2026,20:00,Lektion/Wiederholung 6
ST Mento,09.07.2026,17:00,09.07.2026,20:00,Lektion/Wiederholung 7
ST Mento,23.07.2026,17:00,23.07.2026,20:00,Lektion/Wiederholung 8
ST Mento 2,07.04.2026,18:00,07.04.2026,19:30,
ST Mento 2,24.04.2026,18:00,24.04.2026,21:00,
ST Mento 2,05.05.2026,18:00,05.05.2026,21:00,
ST Mento 2,19.05.2026,18:00,19.05.2026,21:00,
ST Mento 2,02.06.2026,18:00,02.06.2026,21:00,
ST Mento 2,16.06.2026,18:00,16.06.2026,21:00,
ST Mento 2,30.06.2026,18:00,30.06.2026,21:00,
ST Mento 2,08.07.2026,18:00,08.07.2026,21:00,
ST Mento 2,28.07.2026,18:00,28.07.2026,21:00,Klausurvorbereitung
ST Mento 2,12.08.2026,18:00,12.08.2026,21:00,Klausurvorbereitung
NM Mento,09.04.2026,17:00,09.04.2026,20:00,Lektion/Wiederholung 1
NM Mento,23.04.2026,17:00,23.04.2026,20:00,Lektion/Wiederholung 2
NM Mento,07.05.2026,17:00,07.05.2026,20:00,Lektion/Wiederholung 3
NM Mento,21.05.2026,17:00,21.05.2026,20:00,Lektion/Wiederholung 4
NM Mento,11.06.2026,17:00,11.06.2026,20:00,Lektion/Wiederholung 5
NM Mento,25.06.2026,17:00,25.06.2026,20:00,Lektion/Wiederholung 6
NM Mento,09.07.2026,17:00,09.07.2026,20:00,Lektion/Wiederholung 7
NM Mento,23.07.2026,17:00,23.07.2026,20:00,Lektion/Wiederholung 8
